x,y,label
-19.546606,10.467621,5
13.707015,-24.734175,0
9.428705,-0.64130104,4
9.527319,16.291014,1
-0.49017784,-0.5739535,9
-6.769813,-19.995615,2
8.539309,15.309364,1
-23.097868,3.136873,3
7.997662,13.491779,1
19.26798,-10.515308,4
-22.983433,1.3778816,3
-13.396511,8.783014,5
-30.346077,3.2003815,3
19.10323,11.821832,6
8.53029,13.409786,1
-3.3384593,19.00909,7
-3.3235013,-12.186174,2
-22.081154,-11.720852,8
14.493898,4.8041778,6
-4.3717146,-0.41818437,9
10.385145,-4.0129547,4
10.370106,-20.799603,0
0.017232686,0.21093169,9
9.061693,17.530903,1
1.9048903,5.299567,1
-6.3043275,-17.108358,2
13.4605465,-7.9499283,4
-25.893215,0.58804,3
-3.188502,-18.151812,2
-4.735107,5.7935266,7
-15.963096,0.48119193,3
-16.626612,-12.253002,8
21.167614,8.247821,6
-2.1777828,3.3584182,9
7.288009,-14.417986,0
-16.42374,11.693351,5
14.807348,4.9735026,6
10.15867,-18.15365,0
-2.077545,9.777355,7
19.912855,5.1757684,6
9.262616,16.02788,1
-22.811016,-15.4298115,8
-3.8281062,12.769361,7
-2.709233,-0.4811351,9
-17.579823,2.3487916,3
-5.191378,-0.47181162,9
-18.851597,-13.191672,8
-20.86317,17.471357,5
-7.6649837,2.6673033,9
-29.308178,4.7178087,3
-23.83939,2.5041816,3
8.069034,-15.601138,0
-0.37104484,16.923304,7
8.877185,-5.8792744,4
0.07566479,2.6840436,9
-20.740627,-15.22678,8
12.019257,-15.363345,0
-2.5177228,1.1853586,9
15.329384,-6.449975,4
9.095321,16.463057,1
12.866687,-7.637944,4
12.570494,-3.4900558,4
15.192944,5.3400517,6
5.7734923,-19.143421,0
17.516624,-9.565056,4
-18.646126,14.183544,5
15.504787,6.111249,6
4.544842,12.354686,1
4.3742566,-8.896541,0
5.6056666,-16.324781,0
4.553527,4.3192606,1
-0.4313161,14.670089,7
8.851265,14.080146,1
15.52977,5.7964616,6
-22.802256,0.31937018,3
7.557792,-11.603002,0
-2.5975387,-16.595547,2
7.283235,16.703533,1
8.791897,11.854018,1
-1.2002618,14.057353,7
-7.8417945,-3.3915942,9
5.3065257,-16.890234,0
-5.3935657,-17.137222,2
15.793614,11.195082,6
-1.1769731,18.985092,7
-20.89745,-12.4482975,8
-16.896662,2.263356,3
-2.6979196,0.81245124,9
10.65206,-24.441807,0
18.33025,-9.85505,4
23.741573,7.646764,6
-2.302615,14.531527,7
14.781458,-7.2339525,4
18.261148,10.019193,6
-20.81392,-16.966599,8
8.221644,-19.29824,0
-4.331939,15.649827,7
-28.459288,-16.153494,8
-24.206219,1.2607967,3
7.5863147,11.420578,1
-10.660376,4.974909,5
-7.775502,16.830986,7
10.470833,17.059977,1
-2.2603753,18.516172,7
9.32456,12.656127,1
9.134581,17.95065,1
13.977045,7.931354,6
-23.566525,0.2906951,3
7.829456,-13.934276,0
-6.3366723,-12.290546,2
-2.427943,1.7798369,9
-22.549295,1.5141531,3
10.722604,16.035927,1
8.580908,15.477071,1
10.799525,-23.381485,0
16.561523,-10.851324,4
-1.0348737,0.35132614,9
-9.358196,-14.412009,2
10.512123,-22.254292,0
13.738825,-23.202326,0
-1.9383266,-9.4951515,2
14.916049,-16.841223,0
-4.3218727,-17.328253,2
-0.33165333,20.848242,7
4.797789,12.2176,1
-23.24977,-9.229149,8
17.613085,7.789765,6
16.388786,-4.7831674,4
10.67279,16.730831,1
15.206453,6.2245207,6
-26.489542,2.3466601,3
17.381353,-7.641009,4
-1.2946208,8.186295,5
-1.8006752,0.49793568,9
2.1223094,0.0565404,1
-30.167055,4.5351477,3
-25.59756,1.7082807,3
-10.918352,-5.947516,8
-12.893154,11.154797,5
18.924604,-8.812378,4
0.039101154,5.949578,7
-1.2705915,10.561005,7
18.620932,-5.865862,4
-2.3269136,-12.991962,2
-18.958702,-13.183118,8
-21.109213,16.561834,5
-22.220491,-15.9206705,8
15.951311,5.13769,6
-1.0390661,5.3864036,7
-26.627407,4.020939,3
10.563429,-1.8094043,4
24.904377,13.942184,6
8.428102,12.54933,1
-2.6940496,0.33409742,9
-3.8371274,1.02213,9
26.05213,12.669353,6
12.820141,-18.698545,0
-28.089046,1.695525,3
-1.7780225,14.214266,7
-4.0927854,-15.141153,2
-8.340632,-10.055282,8
-2.6544397,-19.859644,2
-3.5883148,0.5651344,9
13.658663,-6.1242814,4
13.585165,-5.7286673,4
22.906267,8.716874,6
17.995914,-6.7382708,4
-2.8912313,-1.172777,9
-1.1853979,10.850157,7
6.1668067,-14.136173,0
-3.2236936,1.395527,9
-5.8662877,-16.97851,2
-1.3685567,4.6547933,9
-13.150343,10.589157,5
11.166988,16.408548,1
-17.047626,15.027069,5
-3.6442878,1.2370938,9
8.056035,14.572411,1
